algorithm,budget,mean_gap,std_gap,runs,sem_gap,ci95
random_search,1,0.2916247859792358,0.24435599084377324,90,0.02575738303245244,0.05048447074360678
rf_smbo,1,0.28970835166914133,0.2212755879645932,90,0.023324494952035205,0.045716010105989004
random_search,2,0.19420870825087372,0.18351544327456187,90,0.01934422621876815,0.03791468338878557
rf_smbo,2,0.1895928319911676,0.1885046029891207,90,0.019870129829046863,0.03894545446493185
random_search,3,0.17100283085722434,0.1768661091247991,90,0.018643324857541832,0.03654091672078199
rf_smbo,3,0.15510450810394255,0.16496396471791158,90,0.017388728678675216,0.034081908210203425
random_search,4,0.14374272747641664,0.1572002908668258,90,0.01657036559933782,0.03247791657470212
rf_smbo,4,0.13841315678774435,0.1563810906788542,90,0.016484014317550207,0.032308668062398405
random_search,5,0.13791966048309343,0.1511152942353197,90,0.015928950635670763,0.031220743245914697
rf_smbo,5,0.12057078604161663,0.13481271843041073,90,0.014210508259968594,0.027852596189538444
random_search,6,0.11871846788998248,0.13438642280635296,90,0.014165572755682412,0.02776452260113753
rf_smbo,6,0.10983678244345499,0.12884380597043293,90,0.013581329642378978,0.026619406099062794
random_search,7,0.11341432637030711,0.1294869482817993,90,0.013649122794497074,0.026752280677214264
rf_smbo,7,0.09726519523046111,0.1148066809945074,90,0.012101686751566946,0.023719306033071215
random_search,8,0.10156800139627149,0.11856392350120908,90,0.012497734886326205,0.02449556037719936
rf_smbo,8,0.0878609233097672,0.10603181781982066,90,0.011176734958622078,0.021906400518899274
random_search,9,0.0967155522534423,0.11493912431389476,90,0.012115647503238187,0.023746669106346846
rf_smbo,9,0.07760363600855172,0.0955825571944513,90,0.010075286177259325,0.019747560907428276
random_search,10,0.09367227802269892,0.11469017797655663,90,0.012089406255200016,0.023695236260192033
rf_smbo,10,0.0725233040023476,0.09145890758040322,90,0.009640615342163785,0.01889560607064102
random_search,11,0.08996021664437413,0.10947864839108007,90,0.011540062802418045,0.02261852309273937
rf_smbo,11,0.06485328255626813,0.08257106476078185,90,0.0087037544489779,0.017059358719996684
random_search,12,0.08300397364784498,0.09750646651349282,90,0.01027808402591915,0.020145044690801535
rf_smbo,12,0.06219229999767379,0.08107706120914131,90,0.008546272647125729,0.01675069438836643
random_search,13,0.08165574216530057,0.09766910976284858,90,0.010295228129719647,0.020178647134250507
rf_smbo,13,0.05732560595270741,0.0798834802063272,90,0.00842045816243238,0.016504097998367464
random_search,14,0.07917490235801915,0.09664978579002738,90,0.01018778194879543,0.01996805261963904
rf_smbo,14,0.0512259412415252,0.07234118974993785,90,0.00762543094187434,0.014945844646073705
random_search,15,0.07696800918965749,0.09572882323429471,90,0.010090703971600596,0.019777779784337167
rf_smbo,15,0.04767882153022572,0.0672300999594206,90,0.0070866747730854275,0.013889882555247438
random_search,16,0.07672980041056814,0.09589019856563805,90,0.010107714425107573,0.01981112027321084
rf_smbo,16,0.043909119921012825,0.06179919681599925,90,0.006514207316919442,0.012767846341162107
random_search,17,0.07338843388165456,0.09504570943873734,90,0.010018697455099132,0.019636647011994298
rf_smbo,17,0.041785725614410615,0.058490695602263214,90,0.006165460667691527,0.012084302908675394
random_search,18,0.07284561480144677,0.09452997068918685,90,0.009964333817559576,0.01953009428241677
rf_smbo,18,0.039362167426119476,0.05539037483737862,90,0.005838658164553171,0.011443770002524214
random_search,19,0.07261138127871257,0.09468582377378629,90,0.00998076217514948,0.01956229386329298
rf_smbo,19,0.038044928548315066,0.05325829216078698,90,0.00561391691729258,0.011003277157893456
random_search,20,0.06950326024188475,0.09093468841295155,90,0.009585357790088301,0.01878730126857307
rf_smbo,20,0.036219869819500414,0.05147409983697282,90,0.005425846533057865,0.010634659204793416
random_search,21,0.06835613824517052,0.08842628507623863,90,0.009320948862275667,0.018269059770060308
rf_smbo,21,0.03428579544590549,0.0489517666554578,90,0.0051599692706776525,0.010113539770528198
random_search,22,0.06670099944984037,0.08661667142019981,90,0.009130198834341427,0.017895189715309196
rf_smbo,22,0.032030844383700005,0.0448655549863151,90,0.00472924474147601,0.009269319693292978
random_search,23,0.065104341781036,0.08491217913245447,90,0.008950529571559214,0.01754303796025606
rf_smbo,23,0.030701172622325284,0.04362071344089793,90,0.004598026921158602,0.009012132765470861
random_search,24,0.06328496131541221,0.08248500419870158,90,0.008694682869214966,0.017041578423661333
rf_smbo,24,0.02989285487023357,0.04228259342537638,90,0.004456976686768337,0.00873567430606594
random_search,25,0.06269525249281736,0.08159957453501077,90,0.008601350387710304,0.016858646759912194
rf_smbo,25,0.02842582784959306,0.03982092702834999,90,0.004197494264964879,0.008227088759331164
random_search,26,0.06163990997839816,0.08076993930575951,90,0.008513899155991973,0.016687242345744268
rf_smbo,26,0.027215503027290866,0.03883036606126986,90,0.004093079971057137,0.008022436743271988
random_search,27,0.06139952183907075,0.08053234264430247,90,0.008488854268836766,0.016638154366920063
rf_smbo,27,0.026055580115096438,0.037666968669725874,90,0.003970447118351213,0.007782076351968377
random_search,28,0.059661446091797916,0.07810600566851365,90,0.008233095895017518,0.016136867954234333
rf_smbo,28,0.025473195714391578,0.03694027442765345,90,0.003893846819435259,0.007631939766093107
random_search,29,0.05900453101498683,0.0769948727165534,90,0.008115972197968823,0.01590730550801889
rf_smbo,29,0.024702165525222863,0.03600222673992291,90,0.0037949679111991628,0.007438137105950359
random_search,30,0.05812522689750136,0.07607213293744763,90,0.00801870688498166,0.015716665494564054
rf_smbo,30,0.02391652456102949,0.0350456313809519,90,0.003694133906749337,0.0072405024572287004
random_search,31,0.05665869959956008,0.0746510200147904,90,0.007868908430051808,0.015423060522901542
