system,algorithm,repeat,run_seed,budget,sampled_index,sampled_performance,best_found,normalised_gap,optimum,worst
7z,rf_smbo,0,20260424,8,66146,9140.2,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,9,58345,9149.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,10,58422,9157.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,11,58456,9154.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,12,60171,9195.2,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,13,60159,9238.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,14,60468,9187.2,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,15,59137,303324.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,16,54989,9233.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,17,55045,9167.2,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,18,55886,9201.0,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,19,55848,9120.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,20,58405,9151.0,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,21,58707,9228.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,22,58619,9249.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,23,58449,9194.2,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,24,58733,9260.2,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,25,56432,121762.0,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,26,64430,9142.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,27,58430,9155.4,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,28,55883,9171.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,29,56475,121752.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,30,9420,101569.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,31,55132,9214.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,32,60612,47502.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,33,58461,9211.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,34,29251,12344.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,35,54999,9136.2,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,36,55889,9205.8,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,37,56023,9305.2,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,38,57597,9124.2,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,39,56026,9265.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,40,55905,9185.0,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,41,55276,9198.4,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,42,63598,9212.4,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,43,60309,9163.4,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,44,57606,9135.4,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,45,55287,9116.0,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,46,64571,9122.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,47,55901,9232.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,48,14572,101462.4,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,49,66709,121666.6,9112.4,0.011694231527705292,4196.4,424574.6
7z,rf_smbo,0,20260424,50,55306,9161.0,9112.4,0.011694231527705292,4196.4,424574.6
7z,random_search,1,20260425,1,14921,4773.0,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,2,19519,101304.2,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,3,7173,12559.8,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,4,30228,15865.2,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,5,11358,17736.2,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,6,48198,10044.4,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,7,2332,131615.2,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,8,49658,148156.4,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,9,36908,13126.8,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,10,60138,9200.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,11,64246,299629.8,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,12,12356,11891.0,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,13,24152,17672.0,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,14,39074,12110.0,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,15,64544,9244.2,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,16,13341,98481.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,17,64342,300572.4,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,18,22513,4822.0,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,19,59797,121419.8,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,20,39240,38195.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,21,42225,9139.2,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,22,65779,47778.6,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,23,44498,160222.0,4773.0,0.001371622029876907,4196.4,424574.6
7z,random_search,1,20260425,24,38522,48252.8,4773.0,0.001371622029876907,4196.4,424574.6
