system,algorithm,budget,mean_best_found,std_best_found,mean_gap,std_gap,runs,optimum,worst
7z,random_search,1,63529.31333333333,87319.94291366676,0.14114174648764694,0.20771758124866316,30,4196.4,424574.6
7z,rf_smbo,1,63924.26,68087.47375128658,0.14208124969372818,0.16196718514729488,30,4196.4,424574.6
7z,random_search,2,23586.4,21454.50529797156,0.04612513208344296,0.051036198589678436,30,4196.4,424574.6
7z,rf_smbo,2,25459.006666666664,30322.264689167827,0.05057970814534785,0.07213091613496568,30,4196.4,424574.6
7z,random_search,3,14585.313333333334,10909.340709392534,0.02471325423947611,0.02595125225188303,30,4196.4,424574.6
7z,rf_smbo,3,20348.333333333332,25519.31468836258,0.038422385683494854,0.060705609111896354,30,4196.4,424574.6
7z,random_search,4,11797.28,5945.6441464435065,0.018081051776709642,0.014143559648058596,30,4196.4,424574.6
7z,rf_smbo,4,14746.980000000001,10624.902849873093,0.025097828574364708,0.025274628536572766,30,4196.4,424574.6
7z,random_search,5,11179.76,5889.9408287877295,0.016612088828583407,0.014011052021222154,30,4196.4,424574.6
7z,rf_smbo,5,13595.893333333333,10083.629385977409,0.0223596117337515,0.023987041635311745,30,4196.4,424574.6
7z,random_search,6,10024.786666666665,2886.9115486054056,0.013864626345197415,0.006867414981569946,30,4196.4,424574.6
7z,rf_smbo,6,10546.826666666666,5503.194456071248,0.015106460484075214,0.013091055759007602,30,4196.4,424574.6
7z,random_search,7,9697.726666666666,2956.0079620457996,0.013086612642298455,0.007031782242860833,30,4196.4,424574.6
7z,rf_smbo,7,10316.426666666666,5533.414384909776,0.014558382586600988,0.01316294323756507,30,4196.4,424574.6
7z,random_search,8,9415.72,2859.7488535015536,0.012415772273633602,0.006802800082167805,30,4196.4,424574.6
7z,rf_smbo,8,10292.24,5530.974232173345,0.014500847094354561,0.013157138577055957,30,4196.4,424574.6
7z,random_search,9,8975.453333333333,2238.6938599184973,0.011368461383899865,0.005325428054828956,30,4196.4,424574.6
7z,rf_smbo,9,9181.28,2803.6748267352555,0.011858083982471023,0.006669410608673941,30,4196.4,424574.6
7z,random_search,10,8825.74,2371.5543898173764,0.011012321761689833,0.005641478054326739,30,4196.4,424574.6
7z,rf_smbo,10,9177.366666666667,2800.647373971478,0.011848774904756403,0.006662208872799489,30,4196.4,424574.6
7z,random_search,11,8775.146666666667,2346.2193829477114,0.010891969818289025,0.0055812108785558145,30,4196.4,424574.6
7z,rf_smbo,11,8509.586666666666,3129.354409098964,0.010260252950002324,0.007444140559855303,30,4196.4,424574.6
7z,random_search,12,8720.213333333333,2309.7899130818614,0.010761293838104199,0.005494552079726926,30,4196.4,424574.6
7z,rf_smbo,12,8340.726666666666,3094.4474149825123,0.009858567039553116,0.007361103442049357,30,4196.4,424574.6
7z,random_search,13,8720.213333333333,2309.7899130818614,0.010761293838104199,0.005494552079726926,30,4196.4,424574.6
7z,rf_smbo,13,7987.093333333333,2772.69507866703,0.00901734041711329,0.006595715664292369,30,4196.4,424574.6
7z,random_search,14,8476.46,2347.6612785992966,0.010181450893504945,0.005584640874810579,30,4196.4,424574.6
7z,rf_smbo,14,7978.8133333333335,2769.3856203676028,0.00899764386767281,0.006587843090739726,30,4196.4,424574.6
7z,random_search,15,8178.08,2523.6094504116318,0.009471661470551996,0.006003188201509097,30,4196.4,424574.6
7z,rf_smbo,15,7945.38,2716.5426583727008,0.008918112309344303,0.00646213970746509,30,4196.4,424574.6
7z,random_search,16,7877.666666666667,2332.6462098290613,0.008757035133283951,0.005548922874280973,30,4196.4,424574.6
7z,rf_smbo,16,7939.306666666667,2713.6715099827306,0.008903665001340858,0.006455309790047941,30,4196.4,424574.6
7z,random_search,17,7877.666666666667,2332.6462098290613,0.008757035133283951,0.005548922874280973,30,4196.4,424574.6
7z,rf_smbo,17,7914.253333333333,2697.334163351217,0.00884406787348472,0.006416446341297472,30,4196.4,424574.6
7z,random_search,18,7748.233333333334,2371.91185047775,0.008449137784341181,0.005642328385434234,30,4196.4,424574.6
7z,rf_smbo,18,7649.38,2693.583424951307,0.00821398445495033,0.006407524046088278,30,4196.4,424574.6
7z,random_search,19,7452.833333333333,2239.279920641568,0.007746437216138548,0.005326822182124498,30,4196.4,424574.6
7z,rf_smbo,19,7635.58,2704.993826419114,0.00818115687254953,0.0064346672268426695,30,4196.4,424574.6
7z,random_search,20,7267.34,2208.6258134555223,0.007305183760718326,0.00525390187563371,30,4196.4,424574.6
